eventID,DescriptionEN
List Sales Agreement,List Sales Agreement
List Sent Emails,List Sent Emails
List System User Identities,List System User Identities
ListBusinessMessages,ListBusinessMessages
ListOrganisationUser,ListOrganisationUser
MGA.UPD.IOS.REQ,Update imbalance open supplier request
MGA.UPD.LSS.REQ,Update loss supplier request
MGA.UPD.OBS.REQ,Update obligatory supplier request
MSG.PRC,Process Message
MSG.UNK,Description not found
PAU.CRE.REQ,New party autohrisation request
PAU.UPD.REQ,Update party authorisation request
PCP.RTR,Product Component Retrieve
PCP.RTR,Product Component Retrieve
PeekMessage,PeekMessage
PeekMessage,PeekMessage
PRU,Production unit
PRU,Production unit
PRU.CRE.REQ,New production unit request
PRU.CRE.REQ,New production unit request
PRU.UPD.AGR.REQ,Update supplier agreement request
PRU.UPD.INF.REQ,Update Production Unit Information (U2)
PRU.UPD.INF.REQ,Update Production Unit Information (U2)
PRU.UPD.MTS.REQ,Update production unit metering time step request
PRU.UPD.MTS.REQ,Update production unit metering time step request
PRU.UPD.REQ,Update production unit request
PRU.UPD.REQ,Update production unit request
Regenerate 2FA Key,Regenerate 2FA Key
Regenerate 2FA Key,Regenerate 2FA Key
Retrieve Accounting Point,Retrieve Accounting Point
Retrieve Accounting Point,Retrieve Accounting Point
Retrieve Accounting Point Data,Retrieve Accounting Point Data
Retrieve Accounting Point Delete,Retrieve Accounting Point Delete
Retrieve Accounting Point Delete,Retrieve Accounting Point Delete
Retrieve AccountingPoints,Retrieve AccountingPoints
Retrieve AccountingPoints,Retrieve AccountingPoints
Retrieve Agreement,Retrieve Agreement
Retrieve Agreement Mutations,Retrieve Agreement Mutations
Retrieve Agreement Mutations,Retrieve Agreement Mutations
Retrieve Agreements,Retrieve Agreements
Retrieve Agreements,Retrieve Agreements
Retrieve Authorisation Data,Retrieve Authorisation Data
Retrieve Authorisation Mutations,Retrieve Authorisation Mutations
Retrieve Authorisation Mutations,Retrieve Authorisation Mutations
Retrieve Authorisations,Retrieve Authorisations
Retrieve Balance Agreement,Retrieve Balance Agreement
Retrieve Balance Agreements,Retrieve Balance Agreements
Retrieve Balance Responsibilities,Retrieve Balance Responsibilities
Retrieve Calendar Date,Retrieve Calendar Date
Retrieve Calendar Day,Retrieve Calendar Day
Retrieve Configuration Parameter,Retrieve Configuration Parameter
Retrieve Configuration Parameters,Retrieve Configuration Parameters
Retrieve Configuration Parameters,Retrieve Configuration Parameters
Retrieve Contract Data,Retrieve Contract Data
Retrieve Csutomer Authorisation Agreement History,Retrieve Csutomer Authorisation Agreement History
Retrieve Csutomer Authorisation Agreement History,Retrieve Csutomer Authorisation Agreement History
Retrieve Customer,Retrieve Customer
Retrieve Customer,Retrieve Customer
Retrieve Customer Information,Retrieve Customer Information
Retrieve Customer Information,Retrieve Customer Information
Retrieve Customer Mutations,Retrieve Customer Mutations
